ewc_code,hazardous,description
01 01 01,False,Wastes from mineral metalliferous excavation
01 01 02,False,Wastes from mineral non-metalliferous excavation
01 03 04*,True,Acid-generating tailings from processing of sulphide ore
01 03 05*,True,Other tailings containing hazardous substances
01 03 06,False,Tailings other than those mentioned in 01 03 04 and 01 03 05
01 03 07*,True,Other wastes containing hazardous substances from physical and chemical processing of metalliferous minerals
01 03 08,False,Dusty and powdery wastes other than those mentioned in 01 03 07
01 03 09,False,Red mud from alumina production other than the wastes mentioned in 01 03 10
01 03 10*,True,Red mud from alumina production containing hazardous substances other than the wastes mentioned in 01 03 07
01 03 99,False,Wastes not otherwise specified
01 04 07*,True,Wastes containing hazardous substances from physical and chemical processing of non-metalliferous minerals
01 04 08,False,Waste gravel and crushed rocks other than those mentioned in 01 04 07
01 04 09,False,Waste sand and clays
01 04 10,False,Dusty and powdery wastes other than those mentioned in 01 04 07
01 04 11,False,Wastes from potash and rock salt processing other than those mentioned in 01 04 07
01 04 12,False,Tailings and other wastes from washing and cleaning of minerals other than those mentioned in 01 04 07 and 01 04 11
01 04 13,False,Wastes from stone cutting and sawing other than those mentioned in 01 04 07
01 04 99,False,Wastes not otherwise specified
01 05 04,False,Freshwater drilling muds and wastes
01 05 05*,True,Oil-containing drilling muds and wastes
01 05 06*,True,Drilling muds and other drilling wastes containing hazardous substances
01 05 07,False,Barite-containing drilling muds and wastes other than those mentioned in 01 05 05 and 01 05 06
01 05 08,False,Chloride-containing drilling muds and wastes other than those mentioned in 01 05 05 and 01 05 06
01 05 99,False,Wastes not otherwise specified preparation and processing
02 01 01,False,Sludges from washing and cleaning
02 01 02,False,Animal-tissue waste
02 01 03,False,Plant-tissue waste
02 01 04,False,Waste plastics (except packaging)
02 01 06,False,"Animal faeces, urine and manure (including spoiled straw), effluent, collected separately and treated off-site"
02 01 07,False,Wastes from forestry
02 01 08*,True,Agrochemical waste containing hazardous substances
02 01 09,False,Agrochemical waste other than those mentioned in 02 01 08
02 01 10,False,Waste metal
02 01 99,False,Wastes not otherwise specified
02 02 01,False,Sludges from washing and cleaning
02 02 02,False,Animal-tissue waste
02 02 03,False,Materials unsuitable for consumption or processing
02 02 04,False,Sludges from on-site effluent treatment
02 02 99,False,"Wastes not otherwise specified conserve production; yeast and yeast extract production, molasses preparation and fermentation"
02 03 01,False,"Sludges from washing, cleaning, peeling, centrifuging and separation"
02 03 02,False,Wastes from preserving agents
02 03 03,False,Wastes from solvent extraction
02 03 04,False,Materials unsuitable for consumption or processing
02 03 05,False,Sludges from on-site effluent treatment
02 03 99,False,Wastes not otherwise specified
02 04 01,False,Soil from cleaning and washing beet
02 04 02,False,Off-specification calcium carbonate
02 04 03,False,Sludges from on-site effluent treatment
02 04 99,False,Wastes not otherwise specified
02 05 01,False,Materials unsuitable for consumption or processing
02 05 02,False,Sludges from on-site effluent treatment
02 05 99,False,Wastes not otherwise specified
02 06 01,False,Materials unsuitable for consumption or processing
02 06 02,False,Wastes from preserving agents
02 06 03,False,Sludges from on-site effluent treatment
02 06 99,False,Wastes not otherwise specified
02 07 01,False,"Wastes from washing, cleaning and mechanical reduction of raw materials"
02 07 02,False,Wastes from spirits distillation
02 07 03,False,Wastes from chemical treatment
02 07 04,False,Materials unsuitable for consumption or processing
02 07 05,False,Sludges from on-site effluent treatment
02 07 99,False,Wastes not otherwise specified cardboard
03 01 01,False,Waste bark and cork
03 01 04*,True,"Sawdust, shavings, cuttings, wood, particle board and veneer containing hazardous substances"
03 01 05,False,"Sawdust, shavings, cuttings, wood, particle board and veneer other than those mentioned in 03 01 04"
